Station    Longitude    Latitude    0    1    2    3    4    5    6    7    8    9    10    11    12    13    14    15    16    17    18    19    20    21    22    23
130210012    -83.5435    32.8054    15.306122    14.571429    14.140496    13.132231    12.036735    11.134694    11.020408    14.778689    22.167347    29.184426    34.681818    38.473251    40.288066    41.751020    42.436735    42.897959    41.897959    39.306122    33.693878    25.702041    20.387755    17.906122    16.330189    15.391837
130550001    -85.4080    34.4743    10.420408    9.975510    9.720165    9.632653    9.281633    8.791837    8.375510    11.106122    19.518367    28.032653    33.655738    37.276860    39.514403    41.143443    41.487705    41.348361    40.334694    35.538776    27.081633    17.808163    13.142857    12.008163    11.572770    10.967347
130590002    -83.3445    33.9181    20.004082    19.048980    18.288066    17.293878    16.187755    14.738776    13.220408    15.236735    20.959184    26.995918    32.028689    35.643443    37.428571    38.432653    38.869388    39.481633    39.008163    37.293878    32.412245    27.706122    25.409836    24.183962    22.195918    21.004082
130670003    -84.6074    34.0155    19.933884    19.140496    18.658333    17.247934    15.876033    13.675000    12.966805    15.634855    21.420833    27.887967    34.020747    38.583333    41.526971    43.037344    43.847107    44.157025    44.181818    42.371901    38.280992    32.037190    26.987603    23.070248    21.278302    20.648760
130730001    -82.1312    33.5821    14.721519    14.008439    13.290598    12.858974    11.763713    11.135021    11.181435    14.354430    20.877119    27.907173    33.291139    36.983193    39.189873    40.464135    41.218487    41.438819    40.815126    38.420168    32.915966    25.936975    20.833333    17.995146    16.750000    15.546218
130770002    -84.7460    33.4040    16.508264    15.958678    15.970833    14.909091    14.198347    13.206612    12.619835    15.203320    20.070539    25.726141    30.373444    33.639004    35.622407    36.599174    36.735537    36.483471    35.570248    33.632231    29.033058    23.933884    20.462810    19.257261    18.033333    16.991736
130850001    -84.0598    34.3763    19.457143    18.444898    17.522634    16.848980    16.306122    15.412245    14.351020    14.938525    20.069388    27.311475    32.733607    35.979592    38.257143    39.640816    40.269388    40.151020    39.528689    38.331967    36.163265    32.848980    29.073469    25.495283    22.424490    20.800000
130970004    -84.7792    33.7437    24.595041    24.053719    23.529167    22.165289    20.351240    17.702479    16.636364    17.851240    21.697095    26.641667    31.995833    35.887967    38.066390    39.800000    40.491667    40.585062    39.800830    38.381743    35.012500    31.020747    28.481328    27.203320    26.392344    25.028926
131210055    -84.3571    33.7202    17.714286    17.352459    17.008264    16.248980    15.640816    14.416327    13.261224    14.926230    20.119835    26.454545    32.597510    37.703704    40.880658    43.118852    44.061475    44.144033    43.555556    41.143443    36.257143    29.987755    24.342857    21.339623    19.428571    18.795918
131350002    -84.0690    33.9613    16.869388    16.559184    16.456790    15.710204    14.253061    13.126531    12.771429    15.808163    22.351020    29.218107    34.909465    39.045267    41.604082    43.016327    43.877551    43.872428    42.836066    39.991837    33.551020    26.400000    20.917695    18.904306    18.126531    17.714286
131510002    -84.1617    33.4336    17.196721    16.549180    15.633745    15.008197    14.423868    13.547325    12.646091    16.307054    23.609959    30.012448    34.864198    38.741803    41.045643    42.358333    43.359833    43.187500    42.425000    40.282158    35.419087    28.352697    22.735577    19.942308    18.900415    17.929752
132130003    -84.6264    34.7852    36.653061    36.729508    36.448560    35.950820    35.612245    35.208163    34.549180    32.627049    31.028807    31.497942    32.220657    33.720165    34.817427    35.692946    36.253112    36.803279    37.508264    37.805785    38.250000    38.655602    38.692946    38.217213    37.546939    36.926531
132150008    -84.9448    32.5213    23.334694    22.244898    21.312757    20.122449    18.677551    16.342857    14.587755    16.963265    22.930328    29.144033    33.888889    37.218107    39.201646    40.179592    40.457143    39.975510    39.310204    38.130612    35.191837    30.665306    27.473469    26.110204    25.660377    24.461224
132230003    -85.0453    33.9285    25.292181    25.037037    24.537190    24.210744    23.353909    22.543210    22.131687    23.633745    27.578512    31.351240    35.184874    37.957983    39.884615    41.371308    42.294606    42.367769    42.177686    40.231405    35.797521    31.665289    28.913223    27.828571    27.161157    26.095041
132319991    -84.4052    33.1787    28.130178    26.939130    26.354167    25.053571    24.166667    23.377976    22.916667    23.280597    26.048048    30.085627    33.350453    36.104938    37.972644    39.293413    40.089552    40.307692    40.038348    38.943787    36.825444    34.807122    33.089552    31.866469    30.545994    29.372781
132450091    -82.0222    33.4333    16.708861    16.012712    14.944206    14.147679    12.839662    11.616034    11.118143    14.377119    21.591489    29.506494    35.686957    39.564655    41.533898    42.703390    43.253165    43.012658    42.336134    39.626050    32.542017    23.075630    18.380342    16.707317    17.109705    17.000000
132470001    -84.0653    33.5911    14.085714    13.102041    12.540984    11.948498    11.346154    10.532787    10.446721    13.172131    20.723849    28.856540    35.216667    39.475410    42.094262    43.786885    44.491803    44.196721    42.538776    38.465306    33.028571    27.040984    22.497959    18.962085    16.338776    15.179592
132611001    -84.0811    31.9543    21.395918    20.263374    18.835391    17.322449    15.595918    14.302041    14.236735    17.775510    23.987755    29.118367    33.233607    35.855372    37.766393    38.930328    39.689796    39.934694    39.591837    37.946721    33.257143    28.012245    25.302041    24.023474    22.918367    22.257143
